HOSPITAL_NAME,PROVIDER_NUMBER,STATE,MEASURE_NAME,NUMBER_OF_DISCHARGES,FOOTNOTE,EXCESS_READMISSION_RATIO,PREDICTED_READMISSION_RATE,EXPECTED_READMISSION_RATE,NUMBER_OF_READMISSIONS,START_DATE,END_DATE
"SAN ANGELO COMMUNITY MEDICAL CENTER","450340","TX","READM-30-HIP-KNEE-HRRP","Not Available","","0.9538","4.0","4.2","Too Few to Report","01-JUL-13","30-JUN-16"
"BAPTIST BEAUMONT HOSPITAL","450346","TX","READM-30-AMI-HRRP","240","","1.0179","15.4","15.1","38","01-JUL-13","30-JUN-16"
"BAPTIST BEAUMONT HOSPITAL","450346","TX","READM-30-HIP-KNEE-HRRP","252","","1.0388","5.3","5.1","14","01-JUL-13","30-JUN-16"
"PERSON MEMORIAL HOSPITAL","340159","NC","READM-30-COPD-HRRP","86","","0.9968","18.9","18.9","16","01-JUL-13","30-JUN-16"
"PERSON MEMORIAL HOSPITAL","340159","NC","READM-30-PN-HRRP","163","","0.9663","14.7","15.2","22","01-JUL-13","30-JUN-16"
"CAROLINAS MED CTR-UNIVERSITY","340166","NC","READM-30-COPD-HRRP","112","","1.0387","18.1","17.4","23","01-JUL-13","30-JUN-16"
"NOVANT HEALTH MATTHEWS MEDICAL CENTER","340171","NC","READM-30-AMI-HRRP","192","","0.9615","15.4","16.0","27","01-JUL-13","30-JUN-16"
"NOVANT HEALTH MATTHEWS MEDICAL CENTER","340171","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NOVANT HEALTH MATTHEWS MEDICAL CENTER","340171","NC","READM-30-HF-HRRP","520","","0.8875","18.7","21.1","90","01-JUL-13","30-JUN-16"
"WAKEMED, CARY HOSPITAL","340173","NC","READM-30-PN-HRRP","605","","0.8967","13.4","14.9","75","01-JUL-13","30-JUN-16"
"ROBERT PACKER HOSPITAL","390079","PA","READM-30-HIP-KNEE-HRRP","595","","0.9106","4.0","4.4","22","01-JUL-13","30-JUN-16"
"JEANES HOSPITAL","390080","PA","READM-30-HF-HRRP","426","","1.0467","22.1","21.1","97","01-JUL-13","30-JUN-16"
"JEANES HOSPITAL","390080","PA","READM-30-HIP-KNEE-HRRP","Not Available","","1.0565","5.2","4.9","Too Few to Report","01-JUL-13","30-JUN-16"
"PENN HIGHLANDS DUBOIS","390086","PA","READM-30-HF-HRRP","457","","0.9614","21.1","21.9","94","01-JUL-13","30-JUN-16"
"HOLY REDEEMER HOSPITAL AND MEDICAL CENTER","390097","PA","READM-30-HF-HRRP","508","","0.9840","20.9","21.2","105","01-JUL-13","30-JUN-16"
"MCKENZIE REGIONAL HOSPITAL","440182","TN","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HOUSTON METHODIST SUGARLAND HOSPITAL","450820","TX","READM-30-HF-HRRP","597","","0.9992","22.5","22.5","134","01-JUL-13","30-JUN-16"
"LAS COLINAS MEDICAL CENTER","450822","TX","READM-30-COPD-HRRP","Not Available","","1.0286","16.1","15.7","Too Few to Report","01-JUL-13","30-JUN-16"
"LAS COLINAS MEDICAL CENTER","450822","TX","READM-30-PN-HRRP","116","","0.9993","15.6","15.6","18","01-JUL-13","30-JUN-16"
"CORNERSTONE REGIONAL HOSPITAL","450825","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MADISON COUNTY HOSPITAL INC","360189","OH","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"UH GEAUGA MEDICAL CENTER","360192","OH","READM-30-HIP-KNEE-HRRP","287","","1.0272","4.7","4.6","14","01-JUL-13","30-JUN-16"
"MARY RUTAN HOSPITAL","360197","OH","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER","360203","OH","READM-30-AMI-HRRP","Not Available","","0.9898","19.7","19.9","Too Few to Report","01-JUL-13","30-JUN-16"
"SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER","360203","OH","READM-30-HIP-KNEE-HRRP","Not Available","","1.0479","4.7","4.5","Too Few to Report","01-JUL-13","30-JUN-16"
"TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST","360211","OH","READM-30-CABG-HRRP","64","","1.1003","17.3","15.7","14","01-JUL-13","30-JUN-16"
"HAMPTON REGIONAL MEDICAL CENTER","420072","SC","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"LEXINGTON MEDICAL CENTER","420073","SC","READM-30-COPD-HRRP","504","","0.9912","18.6","18.7","93","01-JUL-13","30-JUN-16"
"AIKEN REGIONAL MEDICAL CENTER","420082","SC","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MARY BLACK HEALTH SYSTEM SPARTANBURG","420083","SC","READM-30-AMI-HRRP","Not Available","","1.0153","18.4","18.1","Too Few to Report","01-JUL-13","30-JUN-16"
"MARY BLACK HEALTH SYSTEM SPARTANBURG","420083","SC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"GRAND STRAND REGIONAL MEDICAL CENTER","420085","SC","READM-30-HIP-KNEE-HRRP","839","","1.3744","5.6","4.1","53","01-JUL-13","30-JUN-16"
"PALMETTO HEALTH BAPTIST","420086","SC","READM-30-COPD-HRRP","177","","0.9511","17.3","18.1","27","01-JUL-13","30-JUN-16"
"EAST COOPER MEDICAL CENTER","420089","SC","READM-30-COPD-HRRP","Not Available","","0.9672","15.9","16.5","Too Few to Report","01-JUL-13","30-JUN-16"
"VIDANT BEAUFORT HOSPITAL","340186","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"VIDANT BEAUFORT HOSPITAL","340186","NC","READM-30-HF-HRRP","200","","0.9765","19.7","20.2","38","01-JUL-13","30-JUN-16"
"CAPE FEAR VALLEY HOKE HOSPITAL","340188","NC","READM-30-HF-HRRP","Not Available","","1.0644","20.2","19.0","Too Few to Report","01-JUL-13","30-JUN-16"
"PROVIDENCE MILWAUKIE HOSPITAL","380082","OR","READM-30-PN-HRRP","122","","0.9446","13.2","14.0","13","01-JUL-13","30-JUN-16"
"SACRED HEART MEDICAL CENTER - RIVERBEND","380102","OR","READM-30-AMI-HRRP","454","","0.9887","14.9","15.1","67","01-JUL-13","30-JUN-16"
"GEISINGER-COMMUNITY MEDICAL CENTER","390001","PA","READM-30-COPD-HRRP","391","","0.9961","19.5","19.6","76","01-JUL-13","30-JUN-16"
"MCKENZIE REGIONAL HOSPITAL","440182","TN","READM-30-HF-HRRP","54","","1.0044","19.9","19.8","11","01-JUL-13","30-JUN-16"
"FRANKLIN WOODS COMMUNITY HOSPITAL","440184","TN","READM-30-PN-HRRP","265","","0.9628","16.7","17.3","42","01-JUL-13","30-JUN-16"
"LIVINGSTON REGIONAL HOSPITAL","440187","TN","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SAINT THOMAS HIGHLANDS HOSPITAL","440192","TN","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TRISTAR HENDERSONVILLE MEDICAL CENTER","440194","TN","READM-30-HF-HRRP","177","","0.9821","21.5","21.9","37","01-JUL-13","30-JUN-16"
"TRISTAR HENDERSONVILLE MEDICAL CENTER","440194","TN","READM-30-HIP-KNEE-HRRP","Not Available","","0.9946","4.1","4.2","Too Few to Report","01-JUL-13","30-JUN-16"
"TRISTAR SOUTHERN HILLS MEDICAL CENTER","440197","TN","READM-30-HIP-KNEE-HRRP","Not Available","","0.9573","4.2","4.4","Too Few to Report","01-JUL-13","30-JUN-16"
"SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY","440218","TN","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"TRISTAR STONECREST MEDICAL CENTER","440227","TN","READM-30-COPD-HRRP","202","","1.0330","19.1","18.5","41","01-JUL-13","30-JUN-16"
"SAINT FRANCIS BARTLETT MEDICAL CENTER","440228","TN","READM-30-COPD-HRRP","256","","0.9810","17.7","18.1","44","01-JUL-13","30-JUN-16"
"SAINT FRANCIS BARTLETT MEDICAL CENTER","440228","TN","READM-30-HF-HRRP","254","","1.0205","20.0","19.6","52","01-JUL-13","30-JUN-16"
"SYCAMORE MEDICAL CENTER","360239","OH","READM-30-PN-HRRP","281","","0.9252","15.4","16.7","39","01-JUL-13","30-JUN-16"
"BAY PARK COMMUNITY HOSPITAL","360259","OH","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NAZARETH HOSPITAL","390204","PA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9241","4.7","5.1","Too Few to Report","01-JUL-13","30-JUN-16"
"EXCELA HEALTH FRICK HOSPITAL","390217","PA","READM-30-PN-HRRP","138","","1.1966","20.6","17.2","39","01-JUL-13","30-JUN-16"
"EXCELA HEALTH LATROBE HOSPITAL","390219","PA","READM-30-HF-HRRP","174","","1.0347","21.2","20.5","39","01-JUL-13","30-JUN-16"
"JENNERSVILLE REGIONAL HOSPITAL","390220","PA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9908","5.3","5.4","Too Few to Report","01-JUL-13","30-JUN-16"
"RIDDLE MEMORIAL HOSPITAL","390222","PA","READM-30-HIP-KNEE-HRRP","843","","0.9967","4.5","4.5","38","01-JUL-13","30-JUN-16"
"RIDDLE MEMORIAL HOSPITAL","390222","PA","READM-30-PN-HRRP","755","","0.8134","14.5","17.9","98","01-JUL-13","30-JUN-16"
"PENN PRESBYTERIAN MEDICAL CENTER","390223","PA","READM-30-HIP-KNEE-HRRP","665","","1.2404","6.0","4.8","44","01-JUL-13","30-JUN-16"
"WELLSPAN EPHRATA COMMUNITY HOSPITAL","390225","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"COASTAL CAROLINA HOSPITAL","420101","SC","READM-30-HF-HRRP","131","","1.0777","21.0","19.5","32","01-JUL-13","30-JUN-16"
"PELHAM MEDICAL CENTER","420103","SC","READM-30-COPD-HRRP","108","","0.9720","19.5","20.1","19","01-JUL-13","30-JUN-16"
"EAST TEXAS MEDICAL CENTER","450083","TX","READM-30-AMI-HRRP","695","","1.0729","16.7","15.6","121","01-JUL-13","30-JUN-16"
"GRAHAM REGIONAL MEDICAL CENTER","450085","TX","READM-30-COPD-HRRP","81","","0.9480","18.3","19.3","11","01-JUL-13","30-JUN-16"
"PAMPA REGIONAL MEDICAL CENTER","450099","TX","READM-30-COPD-HRRP","Not Available","","0.9299","17.5","18.8","Too Few to Report","01-JUL-13","30-JUN-16"
"HILLCREST BAPTIST MEDICAL CENTER","450101","TX","READM-30-CABG-HRRP","55","","1.1159","14.3","12.8","11","01-JUL-13","30-JUN-16"
"UPMC MCKEESPORT","390002","PA","READM-30-COPD-HRRP","154","","0.9807","20.4","20.8","30","01-JUL-13","30-JUN-16"
"UPMC MCKEESPORT","390002","PA","READM-30-HF-HRRP","213","","1.0403","25.1","24.1","56","01-JUL-13","30-JUN-16"
"GEISINGER-BLOOMSBURG HOSPITAL","390003","PA","READM-30-HF-HRRP","90","","0.9712","19.7","20.3","16","01-JUL-13","30-JUN-16"
"HOLY SPIRIT HOSPITAL","390004","PA","READM-30-CABG-HRRP","74","","1.0384","14.7","14.2","12","01-JUL-13","30-JUN-16"
"ELLWOOD CITY HOSPITAL","390008","PA","READM-30-HIP-KNEE-HRRP","Not Available","","0.9716","4.8","4.9","Too Few to Report","01-JUL-13","30-JUN-16"
"SAINT VINCENT HOSPITAL","390009","PA","READM-30-HIP-KNEE-HRRP","Not Available","","0.7586","3.3","4.4","Too Few to Report","01-JUL-13","30-JUN-16"
"EVANGELICAL COMMUNITY HOSPITAL","390013","PA","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"JAMESON MEMORIAL HOSPITAL","390016","PA","READM-30-HF-HRRP","274","","0.9878","22.2","22.4","60","01-JUL-13","30-JUN-16"
"VANDERBILT UNIVERSITY MEDICAL CENTER","440039","TN","READM-30-PN-HRRP","646","","1.0442","19.1","18.3","126","01-JUL-13","30-JUN-16"
"PERRY COMMUNITY HOSPITAL","440040","TN","READM-30-PN-HRRP","218","","1.1471","19.3","16.9","50","01-JUL-13","30-JUN-16"
"TRISTAR HORIZON MEDICAL CENTER","440046","TN","READM-30-AMI-HRRP","56","","1.0178","17.6","17.3","11","01-JUL-13","30-JUN-16"
"TRISTAR HORIZON MEDICAL CENTER","440046","TN","READM-30-PN-HRRP","272","","0.9575","16.4","17.1","42","01-JUL-13","30-JUN-16"
"BAPTIST MEMORIAL HOSPITAL","440048","TN","READM-30-PN-HRRP","1726","","1.0347","17.5","16.9","304","01-JUL-13","30-JUN-16"
"MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER","450610","TX","READM-30-AMI-HRRP","263","","1.0194","15.5","15.2","42","01-JUL-13","30-JUN-16"
"CLEAR LAKE REGIONAL MEDICAL CENTER","450617","TX","READM-30-HF-HRRP","992","","1.0383","23.0","22.2","231","01-JUL-13","30-JUN-16"
"CLEAR LAKE REGIONAL MEDICAL CENTER","450617","TX","READM-30-PN-HRRP","1078","","0.9960","17.8","17.9","192","01-JUL-13","30-JUN-16"
"DIMMIT REGIONAL HOSPITAL","450620","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"DIMMIT REGIONAL HOSPITAL","450620","TX","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NOCONA GENERAL HOSPITAL","450641","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"NOCONA GENERAL HOSPITAL","450641","TX","READM-30-COPD-HRRP","Not Available","","1.0162","14.0","13.8","Too Few to Report","01-JUL-13","30-JUN-16"
"WEST HOUSTON MEDICAL CENTER","450644","TX","READM-30-HIP-KNEE-HRRP","Not Available","","1.0477","4.4","4.2","Too Few to Report","01-JUL-13","30-JUN-16"
"MEDICAL CENTER OF PLANO","450651","TX","READM-30-COPD-HRRP","241","","1.0794","20.5","19.0","55","01-JUL-13","30-JUN-16"
"NACOGDOCHES MEDICAL CENTER","450656","TX","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FREESTONE MEDICAL CENTER","450658","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"ST CLAIR HOSPITAL","390228","PA","READM-30-CABG-HRRP","Not Available","","1.0010","15.5","15.5","Too Few to Report","01-JUL-13","30-JUN-16"
"ABINGTON MEMORIAL HOSPITAL","390231","PA","READM-30-HIP-KNEE-HRRP","928","","1.0861","4.8","4.4","46","01-JUL-13","30-JUN-16"
"HANOVER HOSPITAL","390233","PA","READM-30-COPD-HRRP","208","","1.0983","21.7","19.7","52","01-JUL-13","30-JUN-16"
"GUTHRIE TOWANDA MEMORIAL HOSPITAL","390236","PA","READM-30-HF-HRRP","Not Available","","1.0383","22.0","21.2","Too Few to Report","01-JUL-13","30-JUN-16"
"GUTHRIE TOWANDA MEMORIAL HOSPITAL","390236","PA","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MILTON S HERSHEY MEDICAL CENTER","390256","PA","READM-30-AMI-HRRP","349","","1.0042","16.3","16.2","57","01-JUL-13","30-JUN-16"
"BELLEVUE HOSPITAL CENTER","330204","NY","READM-30-HF-HRRP","117","","0.9874","19.5","19.7","22","01-JUL-13","30-JUN-16"
"BELLEVUE HOSPITAL CENTER","330204","NY","READM-30-PN-HRRP","110","","1.0720","13.8","12.9","19","01-JUL-13","30-JUN-16"
"ST JOHN'S RIVERSIDE HOSPITAL","330208","NY","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"CLAXTON-HEPBURN MEDICAL CENTER","330211","NY","READM-30-AMI-HRRP","Not Available","","1.0102","18.3","18.2","Too Few to Report","01-JUL-13","30-JUN-16"
"ROME MEMORIAL HOSPITAL, INC","330215","NY","READM-30-PN-HRRP","247","","1.1597","19.6","16.9","57","01-JUL-13","30-JUN-16"
"OSWEGO HOSPITAL","330218","NY","READM-30-HF-HRRP","258","","1.0426","22.3","21.4","60","01-JUL-13","30-JUN-16"
"SOUTH TEXAS HEALTH SYSTEM","450119","TX","READM-30-COPD-HRRP","276","","0.9556","19.3","20.2","50","01-JUL-13","30-JUN-16"
"DELL SETON  MED CENTER AT THE UNIVERSITY OF TX","450124","TX","READM-30-COPD-HRRP","Not Available","","0.9740","19.9","20.4","Too Few to Report","01-JUL-13","30-JUN-16"
"NORTH CAROLINA BAPTIST HOSPITAL","340047","NC","READM-30-CABG-HRRP","247","","0.8511","12.8","15.1","27","01-JUL-13","30-JUN-16"
"NORTH CAROLINA SPECIALTY HOSPITAL","340049","NC","READM-30-PN-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"SOUTHEASTERN REGIONAL MEDICAL CENTER","340050","NC","READM-30-HF-HRRP","766","","1.1657","26.4","22.6","212","01-JUL-13","30-JUN-16"
"SOUTHEASTERN REGIONAL MEDICAL CENTER","340050","NC","READM-30-HIP-KNEE-HRRP","159","","1.4742","6.7","4.5","18","01-JUL-13","30-JUN-16"
"WATAUGA MEDICAL CENTER","340051","NC","READM-30-AMI-HRRP","115","","1.0239","15.2","14.9","19","01-JUL-13","30-JUN-16"
"WATAUGA MEDICAL CENTER","340051","NC","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MOREHEAD MEMORIAL HOSPITAL","340060","NC","READM-30-COPD-HRRP","182","","0.9971","19.3","19.4","35","01-JUL-13","30-JUN-16"
"UNIVERSITY OF NORTH CAROLINA HOSPITAL","340061","NC","READM-30-HIP-KNEE-HRRP","270","","0.9996","4.1","4.1","11","01-JUL-13","30-JUN-16"
"UNIVERSITY OF NORTH CAROLINA HOSPITAL","340061","NC","READM-30-PN-HRRP","501","","1.0676","18.4","17.2","96","01-JUL-13","30-JUN-16"
"WILKES REGIONAL MEDICAL CENTER","340064","NC","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WAKEMED, RALEIGH CAMPUS","340069","NC","READM-30-COPD-HRRP","591","","0.9712","19.3","19.9","112","01-JUL-13","30-JUN-16"
"SAINT THOMAS RUTHERFORD HOSPITAL","440053","TN","READM-30-AMI-HRRP","246","","1.0635","16.7","15.7","45","01-JUL-13","30-JUN-16"
"SAINT THOMAS RUTHERFORD HOSPITAL","440053","TN","READM-30-HIP-KNEE-HRRP","608","","0.8868","3.8","4.3","21","01-JUL-13","30-JUN-16"
"TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL","440056","TN","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"COOKEVILLE REGIONAL MEDICAL CENTER","440059","TN","READM-30-COPD-HRRP","790","","0.9878","21.4","21.6","168","01-JUL-13","30-JUN-16"
"COOKEVILLE REGIONAL MEDICAL CENTER","440059","TN","READM-30-HIP-KNEE-HRRP","579","","0.8482","3.8","4.5","19","01-JUL-13","30-JUN-16"
"LAKEWAY REGIONAL HOSPITAL","440067","TN","READM-30-HIP-KNEE-HRRP","Not Available","","1.0003","5.1","5.1","Too Few to Report","01-JUL-13","30-JUN-16"
"HUNTSVILLE MEMORIAL HOSPITAL","450347","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"HUNTSVILLE MEMORIAL HOSPITAL","450347","TX","READM-30-PN-HRRP","269","","0.9997","15.6","15.6","42","01-JUL-13","30-JUN-16"
"FALLS COMMUNITY HOSPITAL AND CLINIC","450348","TX","READM-30-HF-HRRP","Not Available","","1.0382","19.9","19.1","Too Few to Report","01-JUL-13","30-JUN-16"
"HUNT REGIONAL MEDICAL CENTER","450352","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"FREESTONE MEDICAL CENTER","450658","TX","READM-30-COPD-HRRP","Not Available","","0.9865","17.2","17.5","Too Few to Report","01-JUL-13","30-JUN-16"
"FAIRVIEW HOSPITAL","360077","OH","READM-30-CABG-HRRP","107","","1.0928","14.4","13.2","18","01-JUL-13","30-JUN-16"
"EAST OHIO REGIONAL HOSPITAL","360080","OH","READM-30-HF-HRRP","127","","1.0421","22.4","21.5","31","01-JUL-13","30-JUN-16"
"EAST OHIO REGIONAL HOSPITAL","360080","OH","READM-30-PN-HRRP","167","","0.9436","18.2","19.3","27","01-JUL-13","30-JUN-16"
"EUCLID HOSPITAL","360082","OH","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"AULTMAN HOSPITAL","360084","OH","READM-30-COPD-HRRP","437","","0.9438","19.3","20.4","80","01-JUL-13","30-JUN-16"
"AULTMAN HOSPITAL","360084","OH","READM-30-PN-HRRP","657","","0.9452","15.9","16.8","101","01-JUL-13","30-JUN-16"
"OHIO STATE UNIVERSITY HOSPITALS","360085","OH","READM-30-AMI-HRRP","459","","0.9682","17.0","17.6","76","01-JUL-13","30-JUN-16"
"LUTHERAN HOSPITAL","360087","OH","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MERCY TIFFIN HOSPITAL","360089","OH","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"WYCKOFF HEIGHTS MEDICAL CENTER","330221","NY","READM-30-COPD-HRRP","223","","1.0727","21.4","20.0","53","01-JUL-13","30-JUN-16"
"WYCKOFF HEIGHTS MEDICAL CENTER","330221","NY","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MASSENA MEMORIAL HOSPITAL","330223","NY","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"BROOKS MEMORIAL HOSPITAL","330229","NY","READM-30-COPD-HRRP","86","","1.0073","19.2","19.0","17","01-JUL-13","30-JUN-16"
"BROOKS MEMORIAL HOSPITAL","330229","NY","READM-30-HF-HRRP","101","","1.1128","24.1","21.6","31","01-JUL-13","30-JUN-16"
"BROOKS MEMORIAL HOSPITAL","330229","NY","READM-30-HIP-KNEE-HRRP","Not Available","","0.8996","4.6","5.1","Too Few to Report","01-JUL-13","30-JUN-16"
"QUEENS HOSPITAL CENTER","330231","NY","READM-30-COPD-HRRP","60","","1.0668","21.9","20.6","18","01-JUL-13","30-JUN-16"
"TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN","450840","TX","READM-30-HIP-KNEE-HRRP","Not Available","","1.0102","4.6","4.6","Too Few to Report","01-JUL-13","30-JUN-16"
"WAKEMED, RALEIGH CAMPUS","340069","NC","READM-30-PN-HRRP","805","","0.9644","15.8","16.4","125","01-JUL-13","30-JUN-16"
"BETSY JOHNSON REGIONAL  HOSPITAL","340071","NC","READM-30-HF-HRRP","436","","1.1274","25.1","22.3","117","01-JUL-13","30-JUN-16"
"BETSY JOHNSON REGIONAL  HOSPITAL","340071","NC","READM-30-HIP-KNEE-HRRP","Not Available","","0.9297","4.1","4.5","Too Few to Report","01-JUL-13","30-JUN-16"
"CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE","340075","NC","READM-30-HF-HRRP","265","","0.8975","19.8","22.1","46","01-JUL-13","30-JUN-16"
"HILLCREST HOSPITAL SOUTH","370202","OK","READM-30-CABG-HRRP","Not Available","","1.0053","13.0","12.9","Too Few to Report","01-JUL-13","30-JUN-16"
"COMMUNITY HOSPITAL, LLC","370203","OK","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"COMMUNITY HOSPITAL, LLC","370203","OK","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"OKLAHOMA SPINE HOSPITAL","370206","OK","READM-30-PN-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"OKLAHOMA SURGICAL HOSPITAL, LLC","370210","OK","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"INTEGRIS CANADIAN VALLEY  HOSPITAL","370211","OK","READM-30-COPD-HRRP","93","","0.9549","15.2","16.0","11","01-JUL-13","30-JUN-16"
"OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP","370212","OK","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP","370212","OK","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"OKLAHOMA HEART HOSPITAL, LLC","370215","OK","READM-30-PN-HRRP","424","","0.9341","17.4","18.7","70","01-JUL-13","30-JUN-16"
"HUNT REGIONAL MEDICAL CENTER","450352","TX","READM-30-HIP-KNEE-HRRP","185","","1.1730","5.4","4.6","13","01-JUL-13","30-JUN-16"
"HOUSTON METHODIST HOSPITAL","450358","TX","READM-30-AMI-HRRP","521","","1.0232","18.5","18.1","98","01-JUL-13","30-JUN-16"
"COLUMBUS COMMUNITY HOSPITAL","450370","TX","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"COLUMBUS COMMUNITY HOSPITAL","450370","TX","READM-30-PN-HRRP","172","","0.9703","15.5","16.0","25","01-JUL-13","30-JUN-16"
"BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE","450372","TX","READM-30-COPD-HRRP","275","","0.9717","18.2","18.7","48","01-JUL-13","30-JUN-16"
"DALLAS MEDICAL CENTER","450379","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"METHODIST HOSPITAL","450388","TX","READM-30-HIP-KNEE-HRRP","697","","1.1210","5.0","4.5","37","01-JUL-13","30-JUN-16"
"EAST TEXAS MEDICAL CENTER ATHENS","450389","TX","READM-30-AMI-HRRP","Not Available","","1.0198","16.4","16.1","Too Few to Report","01-JUL-13","30-JUN-16"
"EAST TEXAS MEDICAL CENTER ATHENS","450389","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
"MEMORIAL MEDICAL CENTER LIVINGSTON","450395","TX","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-13","30-JUN-16"
